date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity
2019-09-06,2019,9,6,chokepoint6,Strait of Hormuz,10,20,6,1,59,37,96,438685,714808,25336,0,3177586,1178830,4356416
2019-09-07,2019,9,7,chokepoint6,Strait of Hormuz,13,15,9,2,61,39,100,641338,364935,70120,10442,3044888,1086837,4131725
2019-09-08,2019,9,8,chokepoint6,Strait of Hormuz,16,17,3,5,47,41,88,468717,504282,26298,2880,2050263,1002179,3052443
2019-09-09,2019,9,9,chokepoint6,Strait of Hormuz,13,14,2,1,56,30,86,479999,434574,25195,0,2602061,939769,3541831
2019-09-10,2019,9,10,chokepoint6,Strait of Hormuz,13,24,6,4,44,47,91,448776,822620,28422,7573,3264174,1307392,4571566
2019-09-11,2019,9,11,chokepoint6,Strait of Hormuz,15,16,6,1,50,38,88,640314,675472,72327,4706,1610452,1392820,3003272
2019-09-12,2019,9,12,chokepoint6,Strait of Hormuz,11,10,1,1,39,23,62,395249,235715,6224,6048,1860093,643237,2503330
2019-09-13,2019,9,13,chokepoint6,Strait of Hormuz,14,9,3,1,39,27,66,463879,384649,5524,2677,1735284,856730,2592014
2019-09-14,2019,9,14,chokepoint6,Strait of Hormuz,18,20,7,5,62,50,112,760409,432152,33340,4207,3533944,1230110,4764054
2019-09-15,2019,9,15,chokepoint6,Strait of Hormuz,13,18,1,1,45,33,78,522280,474938,4311,4207,2267454,1005737,3273191
2019-09-16,2019,9,16,chokepoint6,Strait of Hormuz,21,16,3,6,58,46,104,689621,654248,17504,11089,2824246,1372464,4196710
2019-09-17,2019,9,17,chokepoint6,Strait of Hormuz,12,14,5,1,52,32,84,413868,586445,19968,2212,1442961,1022495,2465456
2019-09-18,2019,9,18,chokepoint6,Strait of Hormuz,6,7,1,1,37,15,52,265256,161147,3283,2177,1680329,431865,2112195
2019-09-19,2019,9,19,chokepoint6,Strait of Hormuz,11,10,4,3,43,28,71,232999,206690,53928,8778,2358729,502396,2861125
2019-09-20,2019,9,20,chokepoint6,Strait of Hormuz,12,20,4,1,53,37,90,458217,634275,24462,5981,2190367,1122937,3313305
2019-09-21,2019,9,21,chokepoint6,Strait of Hormuz,11,12,3,2,47,28,75,381279,234791,16149,2174,2691289,634395,3325684
